Name,class
أمين عنتر قتادة,1.0
بتول مجير شيبان,1.0
مشعل أبان سيد,1.0
سعاد نصرت عجاج,1.0
حارب أهيم إيهاب,1.0
زاهية محسن رسمي,1.0
المثنى فوزي أزهر,1.0
حورية هريرة حكيم,1.0
حافظ نعمان غالي,1.0
أسرار زاكي عز,1.0
سمير وليد مقرن,1.0
لؤلؤة رجاء مجيد,1.0
نعمان قصي عبدالخالق,1.0
لمى عون جعفر,1.0
غوث ركين حاشد,1.0
أنيسة فتح أدغم,1.0
ابراهيم عبدالرقيب هائل,1.0
معينة بطرس حازم,1.0
عطاء عابد ضاهر,1.0
سمراء معد رائد,1.0
عباس عثمان خالد,1.0
زكية المثنى كمال,1.0
مجاهد شهم شهيد,1.0
نهاد شهاب معاوية,1.0
عدنان عبدالقدوس سيف,1.0
خالدة معلوف يزيد,1.0
رشاد حمدون راسم,1.0
أرجوان صادر وسيم,1.0
بهيج سامر ورد,1.0
غادة شبل مطاوع,1.0
ضرار حارث عبدو,1.0
أمواج نذير تقي,1.0
مخلف أنمار ناصح,1.0
راقية صلاح الدين غلاب,1.0
بارح زين منيب,1.0
تيماء أكمل فيضي,1.0
ملحم قسام نصير,1.0
وسيمة جهاد عمارة,1.0
قائد وليف رفعت,1.0
اعتدال سامي كميت,1.0
ميثم عراد مهند,1.0
رحمة نجم الدين إحسان,1.0
رويشد بهاء ناشد,1.0
عاتكة عبدالغفور فواز,1.0
تركي كنان عبدالصمد,1.0
نهى فتيح نصر,1.0
فارس عروة يزيد,1.0
سمر عبدالهادي شبيب,1.0
فرج بدر عشير,1.0
رنيم نظمي فرناس,1.0
مساعد باسم سمير,1.0
مي رفاعي رحال,1.0
كميت شعبان فارض,1.0
خزنة فرج غوث,1.0
خضر خباب خميس,1.0
حور أيسر مدثر,1.0
ناصيف جهاد إبراهيم,1.0
فريدة محيا نجدت,1.0
باسم فريج صمد,1.0
أنهار جهاد مفتاح,1.0
زايد ملحم عبدالرؤوف,1.0
نزيهة عكلة ناشد,1.0
زاهر فخر شعبان,1.0
أميمة هاجد باسط,1.0
منذر محيا ظاهر,1.0
هانئة رويشد عامر,1.0
لطفي عثمان زيد,1.0
مديدة عقال حنبل,1.0
عزب عبدو نشأت,1.0
انبهاج نمر عمران,1.0
منان نعمان مجيب,1.0
زينب شكري أسلم,1.0
مجاهد مساعد حسني,1.0
خولة منصف مقرن,1.0
رباح هزاع عيسى,1.0
وجدان سليم عيسى,1.0
مشعل أكبر مصطفى,1.0
نجد مسعود فائق,1.0
عبدالقادر حنبل عبدالودود,1.0
أمال رياض خليل,1.0
عبدالقيوم هانئ فارس,1.0
هدى عبدالمطلب محمود,1.0
مناحي محرم فرج,1.0
روان مغوار منصف,1.0
بطاح عبدالغني رمضان,1.0
غرام شاكر مصعب,1.0
مدلج صهيب عمر,1.0
مخلصة دهيم العابدين,1.0
راكان ناهل مرشدي,1.0
صفاء بلال شداد,1.0
راسخ خلف شبل,1.0
فاطمة فضل مطاوع,1.0
عجاج مروان مخلص,1.0
أسرار يزيد رباح,1.0
بشير داني أخزم,1.0
مجيبة سارح جبر,1.0
مجير فرحان رسمي,1.0
رزينة غياث حسام,1.0
شوقي سيف مزاحم,1.0
باسقة نشمي كمال,1.0
علاء ناصف جودت,1.0
إحسان قادر عباس,1.0
رزين عمار البراء,1.0
رابعة عيسى معتضد,1.0
عمير ساجر حافظ,1.0
ميثاء سحيم نجم,1.0
حزام عرفات عياش,1.0
وضحى أمين دعيج,1.0
نصير خالص كليم,1.0
زهية ماجد علي,1.0
عبدالكريم زبير إمام,1.0
كيان برهان ساعف,1.0
غسان ناظم ناشد,1.0
كوثر فاتح عوف,1.0
جبران حمزة مرزوق,1.0
بدرية مجير حجاب,1.0
عبدالصمد معين الدين نصار,1.0
كاتيا مضر رجب,1.0
فتح عايض عامر,1.0
إنعام مطر كاظم,1.0
مصباح شيبة رفيق,1.0
نورس فياض مجتبى,1.0
محرم عدلي صميم,1.0
لمياء وهاب عامر,1.0
خميس عراد ثائب,1.0
تهاني أنعم غوار,1.0
عبدو زايد هاشم,1.0
جميلة منيع الحبيب,1.0
حنبل فيضي درغام,1.0
مارية وفيق مطاوع,1.0
ضرار رسول حنظلة,1.0
رصينة عواد سراج,1.0
سميح سيف أشيم,1.0
وسن أكثم زاهي,1.0
ساهر تميم شاهر,1.0
ظافرة شافع بدر,1.0
حنظلة ضاري سرمد,1.0
ندى حمدون تواب,1.0
عتابة عبدالودود قسام,1.0
لجينة عبدالمجيد مأمون,1.0
كنعان عويس أمير,1.0
أنوار ناهل خطاب,1.0
رشوان رشيق نصار,1.0
ذبيانة كريم جنادة,1.0
عبدالحي عروة فليح,1.0
آية مطير منذر,1.0
رفاعي نهيان كميت,1.0
بليغة قطب مغوار,1.0
عبدالرؤوف جرير متعب,1.0
كاظمة باشق شفيع,1.0
جدعان سطام أشهب,1.0
نجوانة كامل نعمان,1.0
رامي ضاوي شاكر,1.0
وسيمة طلال قابس,1.0
أنور عبيد عبدالجميل,1.0
جيداء مصطفى شمس الدين,1.0
مهيوب قادر حسام,1.0
إنعام هيثم صدام,1.0
غريب نجاد أيوب,1.0
مرام رشاد فارس,1.0
مدحة بطاح زاخر,1.0
نعمة مراد حجر,1.0
منصور رياض عبدالقادر,1.0
مريم سلمة قتادة,1.0
ظفار أصيل حميد,1.0
روز عقيل سامر,1.0
رغال ثنيان وهاب,1.0
ليالي اسلم ضاهر,1.0
نضير صادر نوري,1.0
حسنية فتيح وارف,1.0
مرشد عاطف ستار,1.0
فوزية مهيب عيضة,1.0
حازم ابراهيم باسم,1.0
مجيبة ضاوي توفيق,1.0
حماد أعسر قتادة,1.0
وليفة عبدالمنعم حميد,1.0
برهان عبدالرشيد أرقم,1.0
ريتاج عميد إسماعيل,1.0
عفان ستار وديع,1.0
خزينة زيد عزب,1.0
فليح مرشدي المثنى,1.0
أسماء وهبة عبدالباسط,1.0
غريب حسان وديع,1.0
أمواج سيار طلال,1.0
قسام جرير جازم,1.0
منذرة ربيح سمير,1.0
حسام عبدالشكور سحيم,1.0
سعاد عزيز قابوس,1.0
مهدي مسفر مجتبى,1.0
رشيقة أحمد ناجي,1.0
سمير عقبة أصيل,1.0
معطية بكار عبدالكريم,1.0
تركي عبدالجبار رافق,1.0
مرام غلاب ناهض,1.0
جبران أشهب سهل,1.0
تماضر بكر مقتدي,1.0
فيصل خميس عراب,1.0
جوى عائد نصرت,1.0
شاهد مطيع تليد,1.0
أسارير وسيم منصف,1.0
نجاد قطب رائف,1.0
غرام فؤاد تركي,1.0
نعمان حجاج جرير,1.0
رخاء خلف ساعف,1.0
مغيرة هريرة ساهد,1.0
كندة ثائر سمعون,1.0
العابدين ملهم سعد,1.0
شادن عبدالقيوم راتب,1.0
صميم راسخ براء,1.0
نشوى عبدالغني سهيل,1.0
اسلم مبرور مغيرة,1.0
جيهان ثواب أسعد,1.0
دغيم عباد سمير,1.0
رحمة ضرار رامز,1.0
رصين عتاب الحبيب,1.0
نهى عريب فيصل,1.0
شفيق همام سليم,1.0
انتصار زايد عبدالكريم,1.0
صقر فراس مصباح,1.0
مرام حمدون رزق,1.0
سامر نجدة كريم,1.0
عبلة أغلب نوح,1.0
بكر صادح لطفي,1.0
نبيهة أخزم ثروت,1.0
عبدالظاهر نصر ناشد,1.0
أفنان رويشد نجم,1.0
بهجت بليغ قدامة,1.0
تانيا هاجد حمدان,1.0
أبلج رباح عبدالخالق,1.0
طامحة وسيم باسل,1.0
عبدالقادر راضي درغام,1.0
شروق ناصر أسلم,1.0
سداد غلاب تركي,1.0
راغبة نسيب مخلد,1.0
إيهاب أبلج جمعة,1.0
نسيم نضير رفاعي,1.0
معد جواد أشهب,1.0
منصفة معد بلال,1.0
ساجر مرسي فوزي,1.0
أنغام ضاري عقاب,1.0
خليل مهاب رزين,1.0
أسمى أديب بكر,1.0
فرحان صافي سرمد,1.0
نورة تليد حارب,1.0
راسم رغال ركان,1.0
أوصاف ضاري زين,1.0
ثائر كهلان سفيان,1.0
هدير نزيه إسماعيل,1.0
طموح خالد نزار,1.0
ثويبة عبدالكريم مجتبى,1.0
مدثر عبدالهادي معطي,1.0
ربى فضيل شمر,1.0
ممدوح هاشم سلمان,1.0
لجينة غزوان غازي,1.0
دعيج عبدالرقيب كمال,1.0
ثوبة عيضة باسل,1.0
فواز رائف أنس,1.0
رولا عرفات أجيد,1.0
رسيم مبخوت قداح,1.0
كاملة أصيل مهيب,1.0
عز فيصل قاهر,1.0
سلمى لقمان وليف,1.0
فيضي سداد نجيب,1.0
جواهر كاظم ركان,1.0
نصرت حواس جلال,1.0
أفكار نجدة جابر,1.0
ابراهيم رصين جامع,1.0
غناء مطاع سلام,1.0
علوان نشمي مثاب,1.0
نجيحة إبراهيم مدحت,1.0
بكري هاني عائض,1.0
عذاري عفان عون,1.0
تليد فريد مدلج,1.0
رشا سالم شيبان,1.0
جبر بشير أدغم,1.0
غلا مخلد صلاح,1.0
مشتاق رفاعي هزاع,1.0
ميادة سيار نواس,1.0
حمدون معين أكثم,1.0
إقبال سعدون ناهل,1.0
مؤيد مبارك سارح,1.0
سبيعة كاظم قسيم,1.0
أعسر منعم عبيدة,1.0
تيماء أشهب عقلة,1.0
فائق رضي بكار,1.0
نظيرة هاني راتب,1.0
ذباح رسيم إيهاب,1.0
وفاء سداد غيث,1.0
بكر رمضان عوف,1.0
كاتيا سالم مهيب,1.0
مديد ناصف ساهد,1.0
ربى باسط جمعة,1.0
هود حسون موفق,1.0
ذكية رافع مجدي,1.0
نظير نصيف مظفر,1.0
تهاني ضرام بسيم,1.0
عبدالله مروان سرور,1.0
نزيهة معاذ محجن,1.0
رباح رؤوف كهلان,1.0
آيات مزن عبدالحفيظ,1.0
خالد نبيه قائد,1.0
غلا بارع مجيد,1.0
وهبة سلمة أحمد,1.0
لبنى محسن عبدالجبار,1.0
نشأت معروف قادر,1.0
دعجاء أريب ناصر الدين,1.0
درغام صقر ساجد,1.0
كريمة بلال معد,1.0
مسيب أسمر كليب,1.0
كيان مهاب يحيى,1.0
شاهر فرحان مستور,1.0
ماريا فهيد نصير,1.0
عبدالصمد عبدالخالق رافع,1.0
إيناس عمر رباح,1.0
عبدالواحد عواد شبيب,1.0
امتثال عبدالمنعم حجاج,1.0
عمران غنيم عبدالظاهر,1.0
هاجر شاهد معاوية,1.0
فرناس فيض تليد,1.0
صمود عبدالقدوس بسيم,1.0
مفتاح عراب أرقم,1.0
هوازن أغيد فارس,1.0
فضيل كنعان حارب,1.0
ناهد عكاشة طارق,1.0
نوري عمارة رياض,1.0
إعزاز مدثر زياد,1.0
زاهي عبدالله مصلح,1.0
مناير عبدالجليل ياسر,1.0
لبيب عاطف عبدالرحيم,1.0
حسناء مدلج نصر,1.0
رسمي سلام سيد,1.0
سدر خطاب ركان,1.0
عبدالنور نظمي ثابت,1.0
مسفرة وائل صديق,1.0
مجيب عدلي عرفات,1.0
كوثر ناصر آدم,1.0
طاهر عون نعيم,1.0
ملهمة نهيان تميم,1.0
محمد باتل جواد,1.0
نهال مديد تيم,1.0
فاتح فاضل لماح,1.0
إعزاز بديع زكريا,1.0
تواب سطام سمعون,1.0
بارزة مظفر خليفة,1.0
عائذ بهلول رسيم,1.0
سيلين ذياب ميثم,1.0
وليد ريان قابس,1.0
عزة لطفي منذر,1.0
فرحان قداح تامر,1.0
كاتيا مفتاح ممدوح,1.0
فائق ميلاد خضر,1.0
بادرة وارف منير,1.0
عبدالفتاح عبودة رشاد,1.0
رحيق هلال مطلق,1.0
شريح غسان أغيد,1.0
نشوة ناهي نسيم,1.0
حجاج ظفار ناشئ,1.0
بادرة فؤاد كلاب,1.0
فهمي إسحاق عارف,1.0
إكليل أبان تليد,1.0
كليب حزم لباب,1.0
لميس نواس بشار,1.0
يزيد شيبة سمير,1.0
راغبة عبدالحفيظ كرم,1.0
قسيم علاء مغيث,1.0
سمراء رشيد غوار,1.0
نشأت راشد طارق,1.0
نورا ماجد وهاب,1.0
عكاشة مسيب ذاكر,1.0
منذرة لؤي صابر,1.0
هاجد بكري أكمل,1.0
أمنية عبدربه خباب,1.0
قابس شكري سلامة,1.0
نعيم أشقر غياث,1.0
إيهاب مجيد زاهر,1.0
كاتيا ضياء عراد,1.0
مشتاق فخر شهم,1.0
هائلة سلام قطامي,1.0
مصباح عبدالودود جدعان,1.0
أسارير رغيد بكري,1.0
أسد فرحان فرحات,1.0
رزان مبرور عنبر,1.0
حيدر إحسان فيض,1.0
انتصار شاهد راسخ,1.0
حافظ سميع عائض,1.0
وسيمة بهجت مغيث,1.0
رغال حجاج شهم,1.0
رولا شبيب لماح,1.0
مغوار فكري مرتجى,1.0
سندس شادي عبدالباقي,1.0
ناجي كاظم شوقي,1.0
بيان فخر مازن,1.0
ضاهر شافي رافع,1.0
تولين كمال ناصر الدين,1.0
إياد رغيد عاطف,1.0
الجوري غلام سرور,1.0
حمدان زين أمين,1.0
نصر جمعان طلال,1.0
نشمي منيع أهيم,1.0
فتون فهمي فرج,1.0
غالي حنظلة شاهد,1.0
إيمان منتصر رضوان,1.0
حسين صميم حافظ,1.0
ناشئة راضي صباح,1.0
مالك صفوان عبدالوهاب,1.0
مجاهدة نجيب مبروك,1.0
ناصف شاهر عليم,1.0
رافية مبروك عمر,1.0
عبدالقدوس غوث علي,1.0
انسجام شعيب الحبيب,1.0
عبدالغفور ساهر جبران,1.0
رامة عماد غالب,1.0
رشيق أرقم عباس,1.0
سمة عارف صبيح,1.0
نبال شمس الدين مسيب,1.0
وضحى أشهم أمير,1.0
مشعل صمصام راجح,1.0
جنى تميم منهل,1.0
جابر نمر ناصر,1.0
سلطانة معين الدين أريب,1.0
نصوح عبدالغفور كريم,1.0
خولة عكرمة جعفر,1.0
شعبان فليح مشعل,1.0
رابعة أمية ضيف,1.0
سراج معين الدين سليم,1.0
خزينة حزام عبدالحليم,1.0
سنان عبدالقيوم إيهاب,1.0
منيرة مراد رضا,1.0
خلف وارف فيضي,1.0
ابتهال جمعة ظافر,1.0
جابر جميل هشام,1.0
تماضر غالي سامر,1.0
معتصم ناجي معاوية,1.0
هوازن منصف أبلج,1.0
نشأت قدري توفيق,1.0
باسطة هود كليم,1.0
أيسر مغيث قابوس,1.0
جود باسم إحسان,1.0
جاسم عبيدة عاكف,1.0
مخلصة حجر تيم,1.0
ليث مرشدي ماجد,1.0
ميا رائد نبيه,1.0
مشرف فيض منهل,1.0
إحسان جامع هاجد,1.0
رضوان شاكر عرفات,1.0
رحاب أنعم عبادة,1.0
جاسم جليل فليح,1.0
مثابة وديع يحيى,1.0
مبخوت سالم شادي,1.0
أوصاف أشرف أنعم,1.0
عبدي عبدالرقيب فاضل,1.0
رزينة ناجي محمود,1.0
مراد خباب شعيب,1.0
عهد أمير غازي,1.0
زبير لطيف عجرم,1.0
بليغة ناشر خازن,1.0
معصوم مرتضى عبدالحي,1.0
رجاء مبروك بارع,1.0
أمير شافي جاسم,1.0
جوان ظاهر علاء الدين,1.0
عجاج سامح عيد,1.0
براء نصير مشعل,1.0
جمعة سمعان فتوح,1.0
أنهار صمد عيد,1.0
عليان أسمر ناجي,1.0
عائدة عبدالهادي عقاب,1.0
عبدالمطلب عبدالحكيم نشأت,1.0
لميس عبدالرشيد زبير,1.0
ناشئ حنشل شافع,1.0
دارين دهيم عبدالبصير,1.0
منيب أديب كاسب,1.0
أمارة عقبة كريم,1.0
أنس لماح راضي,1.0
