Name,class
جومانا حشيش الريات,1.0
عرفات العزم يسرى,1.0
ايتاء رجب غبريال,1.0
وجدى بسام صريح,1.0
دراز المغورى نصرالله,1.0
فجر ماريف العباسى,1.0
هديات سليمان عطاالله,1.0
العيوطى الرشيدى الاسعد,1.0
امبن منيع البحراوى,1.0
ابراهم عبدالفتاح نوار,1.0
قااسم سمعان كلثم,1.0
ريتاج منسى لوسيندا,1.0
المغاورى مسعدعوض ملاك,1.0
سارا ابوشاور نجيب,1.0
احمدالسيد حسونه العمايم,1.0
الوردانى ل نوفل,1.0
يحيا الشوقى كلارا,1.0
طوسون معتز برهام,1.0
الفرج اصاله مكة,1.0
بشرى معداوى رحاب,1.0
نفاد ماس عبداالحكيم,1.0
احمدعبدالحميد عزالدين الادهم,1.0
مراد الصعيدى حليمه,1.0
صليب حموده منيرة,1.0
نهال عبدالامين حناوى,1.0
داليا غيداء محمودى,1.0
ديانا الغريب خفاجى,1.0
عبدالرخمن ياسرابراهيم مندى,1.0
هداية طنيب عرفه,1.0
خورشيد ممتاز صهباء,1.0
محى المعصراوى تركى,1.0
عبدالدايم عدروس قنعان,1.0
بهى شوزان فليمون,1.0
جايد حمد عوده,1.0
العسقلانى سعديه حسبن,1.0
القصيى عكاشة بطرس,1.0
روفيدة تسن راؤبين,1.0
سيدهم سولاف باسط,1.0
حرب شوادفى ايمن,1.0
الفهمى فادى صلاح,1.0
مؤيد حسنانين اسعاد,1.0
ايهابه غيضان سميح,1.0
بهجات كيرلس حسنه,1.0
محمودابو بكرى مديحه,1.0
زينات فهد سحاب,1.0
نعمةالله سعودة سراء,1.0
هدباء عبدالامين فاروز,1.0
باهر ناريفان كريستينا,1.0
ياسمينة عباده مدحات,1.0
كلارا احمدالعجمى الجيلانى,1.0
استيشاق ماس معالى,1.0
هانئ مرقس الددادمونى,1.0
عطوى حنفى مطيع,1.0
الاسمر الكسائى مايز,1.0
نبية الحمزه ثابت,1.0
اللـه وحدالله نييه,1.0
دالين عبسى رؤيه,1.0
نبيه الزيادى رؤف,1.0
مكاوى العسقلانى ابومسلم,1.0
العميرى نصرالله هابى,1.0
وجديه بيير نورالدين,1.0
وفيق الامير حماد,1.0
حنين هانئ لحظى,1.0
اليمنى الشوادفى نسيله,1.0
هدايه اياد شهيد,1.0
نجاتى اكسم السعداوى,1.0
خليفة سمير برنس,1.0
ميسرة العيناء وصفى,1.0
هد الهدى الناديه,1.0
شدوى ديانا عبدالمسيح,1.0
انس بيتر صافيناز,1.0
نواره العباسى الاتربى,1.0
لوسيندا عبدالنظور بسمه,1.0
عطاالله سعداحمد هجرسى,1.0
قاضل لوجين مزيون,1.0
تيموثاوس ابوزكرى الاداحى,1.0
انجى حياه غريب,1.0
شاهنده عاليا عبدالسيد,1.0
هدايه ابوخليل رباح,1.0
نعمان شهيد روض,1.0
حنان حسونة زكريا,1.0
نزار عبدالناصر عمير,1.0
ستيف طلب مروه,1.0
هنيات عبدالكريم شبيب,1.0
اهاب يوستينا بولا,1.0
بثينه مارى الفضل,1.0
حسنيه اكمل نعمات,1.0
مارسيل مرقس صفى,1.0
المصطفى حفصة الشربينى,1.0
العباس غيضان محمدحسن,1.0
اقلاديوس ليليان فرغلى,1.0
فياض غنيمى الهلباوى,1.0
العبدبدير النبوى خلف,1.0
عبدالوراث زكرى رنيا,1.0
فريال الزغبى البسيونى,1.0
نيازى فدائى الصياد,1.0
جومانة الفهمى صالح,1.0
اسل سولافه باز,1.0
حمام موسى عبداالحميد,1.0
الفروجى عصا الرضا,1.0
عبدالحميد عبدالروف زينات,1.0
مهدى مهجة مبارك,1.0
الحلوجى عبدالمؤمن فؤاد,1.0
شنوده زاهر هيا,1.0
صابر الطالب رضوا,1.0
المكاوى محمداحمد صابحه,1.0
ايلاف زاهى فوده,1.0
قلدس العمرى برارى,1.0
الصدقى احيد والى,1.0
عبداالمجيد منا المصرى,1.0
ريماء افنان اليشع,1.0
منار انسان بركات,1.0
المصرى طاهرمحمد رزق,1.0
سعديه فاى باز,1.0
بكر ميرام ماهر,1.0
شليل جيسى عبدالحكيم,1.0
عبدالحفيظ نسمت عجبان,1.0
